312;1596,19;626
313;1598,73;625
314;1601,27;624
315;1603,81;623
316;1606,35;622
317;1608,88;621
318;1611,40;620
319;1613,92;619
320;1616,44;618
321;1618,96;617
322;1621,47;616
323;1623,97;615
324;1626,47;614
325;1628,97;613
326;1631,47;612
327;1633,96;612
328;1636,45;611
329;1638,93;610
330;1641,41;609
331;1643,88;608
332;1646,36;607
333;1648,83;606
334;1651,29;605
335;1653,75;604
336;1656,21;603
337;1658,66;602
338;1661,11;602
339;1663,56;601
340;1666,00;600
341;1668,44;599
342;1670,88;598
343;1673,31;597
344;1675,74;596
345;1678,16;595
346;1680,59;595
347;1683,00;594
348;1685,42;593
349;1687,83;592
350;1690,24;591
351;1692,64;590
352;1695,04;589
353;1697,44;589
354;1699,83;588
355;1702,23;587
356;1704,61;586
357;1707,00;585
358;1709,38;585
359;1711,76;584
360;1714,13;583
361;1716,50;582
362;1718,87;581
363;1721,23;580
364;1723,59;580
365;1725,95;579
366;1728,31;578
367;1730,66;577
368;1733,01;577
369;1735,35;576
370;1737,69;575
371;1740,03;574
372;1742,37;573
373;1744,70;573
374;1747,03;572
375;1749,36;571
376;1751,68;570
377;1754,00;570
378;1756,32;569
379;1758,63;568
380;1760,94;567
381;1763,25;567
382;1765,56;566
383;1767,86;565
384;1770,16;564
385;1772,45;564
386;1774,75;563
387;1777,04;562
388;1779,32;562
389;1781,61;561
390;1783,89;560
391;1786,17;559
392;1788,44;559
393;1790,72;558
394;1792,99;557
395;1795,25;557
396;1797,52;556
397;1799,78;555
398;1802,04;554
399;1804,29;554
400;1806,54;553
401;1808,79;552
402;1811,04;552
403;1813,29;551
404;1815,53;550
405;1817,77;550
406;1820,00;549
407;1822,24;548
408;1824,47;548
409;1826,69;547
410;1828,92;546
411;1831,14;546
412;1833,36;545
413;1835,58;544
414;1837,79;544
415;1840,00;543
416;1842,21;542
417;1844,42;542
418;1846,62;541
419;1848,82;540
420;1851,02;540
421;1853,22;539
422;1855,41;538
423;1857,60;538
424;1859,79;537
425;1861,98;537
426;1864,16;536
427;1866,34;535
428;1868,52;535
429;1870,69;534
430;1872,86;533
431;1875,04;533
432;1877,20;532
433;1879,37;532
434;1881,53;531
435;1883,69;530
436;1885,85;530
437;1888,00;529
438;1890,16;529
439;1892,31;528
440;1894,46;527
441;1896,60;527
442;1898,74;526
443;1900,89;526
444;1903,02;525
445;1905,16;524
446;1907,29;524
447;1909,42;523
448;1911,55;523
449;1913,68;522
450;1915,80;521
451;1917,92;521
452;1920,04;520
453;1922,16;520
454;1924,28;519
455;1926,39;519
456;1928,50;518
457;1930,61;517
458;1932,71;517
459;1934,81;516
460;1936,92;516
461;1939,01;515
462;1941,11;515
463;1943,20;514
